Summary-Based Context-Sensitive Data-Dependence Analysis in Presence of Callbacks,Tang, Hao
Summary-Based Context-Sensitive Data-Dependence Analysis in Presence of Callbacks,Wang, Xiaoyin
Summary-Based Context-Sensitive Data-Dependence Analysis in Presence of Callbacks,Zhang, Lingming
Summary-Based Context-Sensitive Data-Dependence Analysis in Presence of Callbacks,Xie, Bing
Summary-Based Context-Sensitive Data-Dependence Analysis in Presence of Callbacks,Zhang, Lu
Summary-Based Context-Sensitive Data-Dependence Analysis in Presence of Callbacks,Mei, Hong
Higher-Order Approximate Relational Refinement Types for Mechanism Design and Differential Privacy,Barthe, Gilles
Higher-Order Approximate Relational Refinement Types for Mechanism Design and Differential Privacy,Gaboardi, Marco
Higher-Order Approximate Relational Refinement Types for Mechanism Design and Differential Privacy,Gallego Arias, Emilio Jes{\'u}s
Higher-Order Approximate Relational Refinement Types for Mechanism Design and Differential Privacy,Hsu, Justin
Higher-Order Approximate Relational Refinement Types for Mechanism Design and Differential Privacy,Roth, Aaron
Higher-Order Approximate Relational Refinement Types for Mechanism Design and Differential Privacy,Strub, Pierre-Yves
A Formally-Verified C Static Analyzer,Jourdan, Jacques-Henri
A Formally-Verified C Static Analyzer,Laporte, Vincent
A Formally-Verified C Static Analyzer,Blazy, Sandrine
A Formally-Verified C Static Analyzer,Leroy, Xavier
A Formally-Verified C Static Analyzer,Pichardie, David
Automatic patch generation by learning correct code,Long, Fan
Automatic patch generation by learning correct code,Rinard, Martin
Binding as sets of scopes,Flatt, Matthew
Breaking through the normalization barrier: a self-interpreter for f-omega,Brown, Matt
Breaking through the normalization barrier: a self-interpreter for f-omega,Palsberg, Jens
Chapar: certified causally consistent distributed key-value stores,Lesani, Mohsen
Chapar: certified causally consistent distributed key-value stores,Bell, Christian J
Chapar: certified causally consistent distributed key-value stores,Chlipala, Adam
Dependent types and multi-monadic effects in F*,Swamy, Nikhil
Dependent types and multi-monadic effects in F*,Hri{\c{t}}cu, C{\u{a}}t{\u{a}}lin
Dependent types and multi-monadic effects in F*,Keller, Chantal
Dependent types and multi-monadic effects in F*,Rastogi, Aseem
Dependent types and multi-monadic effects in F*,Delignat-Lavaud, Antoine
Dependent types and multi-monadic effects in F*,Forest, Simon
Dependent types and multi-monadic effects in F*,Bhargavan, Karthikeyan
Dependent types and multi-monadic effects in F*,Fournet, C{\'e}dric
Dependent types and multi-monadic effects in F*,Strub, Pierre-Yves
Dependent types and multi-monadic effects in F*,Kohlweiss, Markulf
Dependent types and multi-monadic effects in F*,others,
Effects as sessions  sessions as effects,Orchard, Dominic
Effects as sessions  sessions as effects,Yoshida, Nobuko
Estimating types in binaries using predictive modeling,Katz, Omer
Estimating types in binaries using predictive modeling,El-Yaniv, Ran
Estimating types in binaries using predictive modeling,Yahav, Eran
Example-directed synthesis: a type-theoretic interpretation,Frankle, Jonathan
Example-directed synthesis: a type-theoretic interpretation,Osera, Peter-Michael
Example-directed synthesis: a type-theoretic interpretation,Walker, David
Example-directed synthesis: a type-theoretic interpretation,Zdancewic, Steve
Is sound gradual typing dead?,Takikawa, Asumu
Is sound gradual typing dead?,Feltey, Daniel
Is sound gradual typing dead?,Greenman, Ben
Is sound gradual typing dead?,New, Max S
Is sound gradual typing dead?,Vitek, Jan
Is sound gradual typing dead?,Felleisen, Matthias
Kleenex: compiling nondeterministic transducers to deterministic streaming transducers,Grathwohl, Bj{\o}rn Bugge
Kleenex: compiling nondeterministic transducers to deterministic streaming transducers,Henglein, Fritz
Kleenex: compiling nondeterministic transducers to deterministic streaming transducers,Rasmussen, Ulrik Terp
Kleenex: compiling nondeterministic transducers to deterministic streaming transducers,S{\o}holm, Kristoffer Aalund
Kleenex: compiling nondeterministic transducers to deterministic streaming transducers,T{\o}rholm, Sebastian Paaske
Learning invariants using decision trees and implication counterexamples,Garg, Pranav
Learning invariants using decision trees and implication counterexamples,Neider, Daniel
Learning invariants using decision trees and implication counterexamples,Madhusudan, Parthasarathy
Learning invariants using decision trees and implication counterexamples,Roth, Dan
Lightweight verification of separate compilation,Kang, Jeehoon
Lightweight verification of separate compilation,Kim, Yoonseung
Lightweight verification of separate compilation,Hur, Chung-Kil
Lightweight verification of separate compilation,Dreyer, Derek
Lightweight verification of separate compilation,Vafeiadis, Viktor
Model checking for symbolic-heap separation logic with inductive predicates,Brotherston, James
Model checking for symbolic-heap separation logic with inductive predicates,Gorogiannis, Nikos
Model checking for symbolic-heap separation logic with inductive predicates,Kanovich, Max
Model checking for symbolic-heap separation logic with inductive predicates,Rowe, Reuben
Optimizing synthesis with metasketches,Bornholt, James
Optimizing synthesis with metasketches,Torlak, Emina
Optimizing synthesis with metasketches,Grossman, Dan
Optimizing synthesis with metasketches,Ceze, Luis
Overhauling SC atomics in c11 and OpenCL,Batty, Mark
Overhauling SC atomics in c11 and OpenCL,Donaldson, Alastair F
Overhauling SC atomics in c11 and OpenCL,Wickerson, John
Printing floating-point numbers: a faster  always correct method,Andrysco, Marc
Printing floating-point numbers: a faster  always correct method,Jhala, Ranjit
Printing floating-point numbers: a faster  always correct method,Lerner, Sorin
PSync: a partially synchronous language for fault-tolerant distributed algorithms,Dr{\u{a}}goi, Cezara
PSync: a partially synchronous language for fault-tolerant distributed algorithms,Henzinger, Thomas A
PSync: a partially synchronous language for fault-tolerant distributed algorithms,Zufferey, Damien
Pushdown control-flow analysis for free,Gilray, Thomas
Pushdown control-flow analysis for free,Lyde, Steven
Pushdown control-flow analysis for free,Adams, Michael D
Pushdown control-flow analysis for free,Might, Matthew
Pushdown control-flow analysis for free,Van Horn, David
Symbolic abstract data type inference,Emmi, Michael
Symbolic abstract data type inference,Enea, Constantin
Symbolic computation of differential equivalences,Cardelli, Luca
Symbolic computation of differential equivalences,Tribastone, Mirco
Symbolic computation of differential equivalences,Tschaikowski, Max
Symbolic computation of differential equivalences,Vandin, Andrea
Taming release-acquire consistency,Lahav, Ori
Taming release-acquire consistency,Giannarakis, Nick
Taming release-acquire consistency,Vafeiadis, Viktor
Type theory in type theory using quotient inductive types,Altenkirch, Thorsten
Type theory in type theory using quotient inductive types,Kaposi, Ambrus
A theory of changes for higher-order languages incrementalizing ?-calculi by static differentiation,Cai, Yufei
A theory of changes for higher-order languages incrementalizing ?-calculi by static differentiation,Giarrusso, Paolo G
A theory of changes for higher-order languages incrementalizing ?-calculi by static differentiation,Rendel, Tillmann
A theory of changes for higher-order languages incrementalizing ?-calculi by static differentiation,Ostermann, Klaus
